,Date,Unix,Ticker,DE Ratio,Price,SP500
0,2004-01-30 19:01:02,1075469462.0,a,0.407,36.65,1131.130005
1,2004-04-13 04:07:11,1081809431.0,a,0.375,31.87,1129.439941
2,2004-12-13 21:37:34,1102954054.0,a,0.323,23.84,1198.680054
3,2005-01-22 05:17:19,1106351239.0,a,0.322,21.8,1184.630005
4,2006-01-09 02:35:16,1136754316.0,a,0.0,34.65,1290.150024
5,2006-06-21 11:01:16,1150867876.0,a,0.368,32.18,1252.199951
6,2006-08-19 10:42:01,1155964321.0,a,0.396,31.8,1295.430054
7,2007-02-20 17:46:56,1171973816.0,a,0.411,32.48,1459.680054
8,2007-04-12 05:07:51,1176334671.0,a,0.411,34.62,1447.800049
9,2008-01-23 19:28:50,1201096730.0,a,0.645,32.16,1338.599976
10,2008-02-14 04:44:34,1202944474.0,a,0.645,32.68,1348.859985
11,2008-04-26 04:49:23,1209165563.0,a,0.67,31.53,1379.930054
12,2008-12-06 19:21:33,1228571493.0,a,0.83,17.26,870.73999
13,2004-04-13 04:20:10,1081810210.0,aa,0.595,34.26,1129.439941
14,2004-09-09 16:15:45,1094726745.0,aa,0.561,32.89,1118.380005
15,2004-11-24 10:37:20,1101272840.0,aa,0.53,33.58,1181.76001
16,2004-12-05 00:36:42,1102187202.0,aa,0.53,32.86,1190.329956
17,2005-01-13 07:18:32,1105580912.0,aa,0.457,29.43,1177.449951
18,2005-02-07 03:48:37,1107728317.0,aa,0.457,29.37,1201.719971
19,2005-05-22 08:48:23,1116731903.0,aa,0.543,27.45,1191.079956
20,2006-06-20 04:32:21,1150758141.0,aa,0.526,29.1,1240.119995
21,2007-01-25 19:09:37,1169732377.0,aa,0.494,31.46,1423.900024
22,2007-02-23 09:03:42,1172201622.0,aa,0.494,34.75,1451.189941
23,2007-05-16 21:12:47,1179330167.0,aa,0.494,39.04,1514.140015
24,2007-06-22 06:39:12,1182474552.0,aa,0.503,40.34,1502.560059
25,2007-10-11 20:57:59,1192116479.0,aa,0.47,38.08,1554.410034
26,2008-01-23 16:05:53,1201084553.0,aa,0.499,28.04,1338.599976
27,2008-10-28 00:52:22,1225135342.0,aa,0.672,9.04,940.51001
28,2008-12-05 01:03:15,1228419195.0,aa,0.672,8.06,876.070007
29,2008-12-06 09:33:46,1228536226.0,aa,0.672,8.15,870.73999
30,2008-12-18 10:54:07,1229577847.0,aa,0.672,10.35,885.2800289999999
31,2003-12-07 10:36:10,1070773570.0,aapl,0.072,20.85,1069.719971
32,2004-02-03 07:33:34,1075773814.0,aapl,0.07,22.32,1136.030029
33,2004-06-03 01:20:38,1086205838.0,aapl,0.0,28.92,1116.640015
34,2004-08-10 02:02:44,1092083564.0,aapl,0.0,30.3,1079.040039
35,2004-10-12 05:40:57,1097539857.0,aapl,0.0,38.59,1121.839966
36,2004-12-04 14:16:51,1102150011.0,aapl,0.0,62.68,1191.369995
37,2005-01-26 15:16:47,1106732807.0,aapl,0.0,71.94,1174.069946
38,2005-02-04 03:07:08,1107466628.0,aapl,0.0,77.81,1203.030029
39,2005-03-01 10:36:03,1109653563.0,aapl,0.0,44.86,1210.410034
40,2005-12-17 11:55:53,1134800753.0,aapl,0.0,71.11,1272.73999
41,2006-01-25 09:43:52,1138162432.0,aapl,0.0,76.04,1264.680054
42,2003-10-26 16:06:32,1067164592.0,abc,0.592,57.01,1033.77002
43,2004-01-28 07:37:34,1075255654.0,abc,0.429,56.36,1128.47998
44,2004-05-16 19:24:15,1084715655.0,abc,0.412,58.97,1096.439941
45,2004-10-20 01:31:26,1098216086.0,abc,0.331,52.1,1103.660034
46,2005-01-08 07:45:42,1105150542.0,abc,0.332,57.9,1183.73999
47,2005-03-30 19:52:42,1112192562.0,abc,0.291,55.44,1181.410034
48,2005-05-26 01:50:44,1117052444.0,abc,0.23,65.93,1197.619995
49,2005-12-04 08:46:13,1133666173.0,abc,0.223,79.46,1264.670044
50,2007-02-20 06:12:02,1171932122.0,abc,0.308,54.9,1459.680054
51,2007-04-05 16:11:07,1175769667.0,abc,0.308,53.94,1443.76001
